Age,MonthlyIncome,DistanceFromHome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,NumCompaniesWorked,PercentSalaryHike,Attrition
31,75061,19,3,1,3,2,3,22,No
39,68718,20,4,3,4,2,3,24,No
58,107839,17,4,2,1,4,1,25,No
34,90613,6,6,3,1,3,1,13,No
49,108758,9,7,3,4,4,3,16,No
29,71659,10,0,4,2,2,4,17,No
21,57622,27,0,1,1,1,1,16,No
55,110561,23,5,1,1,2,2,12,No
52,110893,8,5,2,4,3,4,10,No
30,72141,4,3,3,4,2,3,25,No
21,57246,15,0,3,4,4,4,24,No
35,72097,11,7,2,1,1,1,25,No
45,85505,11,3,2,3,4,2,25,No
29,67309,18,0,2,2,1,1,10,Yes
56,103477,19,9,2,4,4,3,17,No
22,74306,5,2,2,1,1,4,13,No
46,107787,12,4,3,4,3,4,25,No
52,96874,23,3,4,3,1,1,25,No
37,79064,30,7,1,3,2,0,11,Yes
28,63285,15,2,3,4,1,2,24,No
37,79900,15,4,4,1,3,1,14,No
37,101975,6,5,3,1,1,3,15,Yes
54,107377,25,10,4,2,2,1,13,No
47,92815,27,7,3,2,2,3,24,Yes
39,102573,13,5,3,1,3,5,23,Yes
56,127020,25,5,4,2,3,1,15,Yes
38,63368,29,0,4,4,2,4,17,No
41,87891,4,7,2,2,4,0,23,Yes
34,73889,8,2,4,1,3,4,19,No
49,113038,7,2,4,4,4,3,10,No
59,128893,29,13,3,2,1,0,23,No
35,78947,20,7,3,1,2,2,25,Yes
36,93686,2,3,3,2,3,1,23,No
27,62613,18,3,2,2,4,4,25,No
54,130743,1,8,4,1,1,0,16,No
24,71878,15,0,1,3,4,1,11,No
32,77935,27,5,2,4,2,2,11,No
50,108732,21,7,3,4,4,0,21,No
33,55940,6,4,4,1,1,3,12,No
54,82247,6,8,3,2,1,4,20,No
46,105609,3,5,2,2,4,4,13,No
43,105842,9,7,3,4,3,2,25,No
25,83306,17,0,3,2,3,4,25,Yes
53,96019,19,7,1,4,4,1,11,Yes
42,109681,26,4,3,4,3,2,15,No
54,107792,3,6,3,2,2,1,16,Yes
54,122976,5,7,2,3,4,1,17,No
59,130207,12,8,3,2,1,3,14,No
46,91527,17,8,3,1,1,2,14,Yes
58,137103,29,9,1,1,4,3,19,Yes
47,102961,20,5,1,2,1,0,22,No
36,78342,2,1,3,4,2,1,13,No
53,115256,25,11,3,3,3,0,14,No
24,71692,16,0,4,2,1,1,15,No
57,117402,24,4,4,2,4,1,23,No
39,88039,21,5,4,1,1,3,17,No
47,77245,28,5,1,2,2,1,17,No
27,65870,14,0,3,3,2,1,24,No
39,97674,17,4,2,3,4,1,22,Yes
55,96323,7,12,3,4,3,3,11,No
35,74016,1,7,4,2,1,3,15,No
35,89541,22,3,1,4,4,1,19,No
56,112390,6,11,3,1,1,3,10,No
46,95720,22,8,2,3,2,0,15,No
37,75497,20,2,1,2,3,1,17,No
23,65679,13,0,1,3,3,0,12,Yes
55,118429,16,9,2,3,2,1,14,No
26,58556,16,0,3,4,3,1,20,Yes
25,80064,1,0,2,3,2,2,12,Yes
23,53601,19,0,1,1,4,1,18,Yes
39,113449,7,4,2,1,3,1,16,Yes
49,110838,7,8,2,4,3,0,19,No
27,77439,29,7,1,2,3,1,16,Yes
31,60499,22,4,4,2,2,1,19,Yes
34,88100,18,3,3,2,2,3,20,Yes
58,110764,5,9,1,4,4,4,20,Yes
50,84074,11,6,4,2,4,3,22,No
25,86820,26,5,3,2,3,6,12,Yes
28,86363,21,3,1,4,4,1,24,No
56,111118,2,10,4,3,1,1,21,No
47,102161,11,6,3,1,1,2,15,Yes
51,104360,29,6,4,1,3,0,22,No
44,103164,19,3,2,3,1,3,25,No
22,54441,22,0,3,1,2,1,23,Yes
40,92462,9,7,2,1,4,0,11,Yes
23,61857,5,3,4,4,2,5,10,No
28,82725,21,2,3,3,2,3,22,No
39,92396,12,3,2,3,2,1,25,No
55,122060,17,13,4,2,1,3,15,No
30,82302,13,0,1,2,3,1,24,Yes
58,118031,28,8,2,1,2,1,22,Yes
42,85409,12,3,4,1,2,1,19,No
30,67582,2,0,1,4,3,0,15,Yes
22,71250,18,0,4,3,4,1,13,No
30,55153,15,1,3,4,4,2,14,No
56,112867,17,11,3,2,4,0,22,Yes
38,94167,28,3,2,3,2,2,18,No
55,114772,30,10,3,4,2,3,16,No
51,82295,24,3,2,4,2,2,21,Yes
31,93087,24,0,1,2,2,0,21,No
59,158802,10,8,3,1,3,4,22,Yes
44,90067,9,6,3,3,1,3,22,No
34,90187,6,0,3,4,3,1,12,No
24,69351,18,0,4,1,4,2,23,No
59,104929,20,10,3,3,3,3,10,No
52,107794,4,4,1,4,4,2,10,No
59,105879,20,8,1,4,1,1,23,No
48,103104,12,7,1,3,2,3,24,Yes
24,63658,7,0,2,4,3,2,19,No
25,75453,23,0,4,4,1,1,17,No
50,112791,19,2,2,3,1,1,24,No
26,61816,1,0,2,2,1,3,10,Yes
42,93291,9,2,2,3,2,1,10,Yes
48,95875,2,1,4,4,2,3,23,No
50,105532,10,3,2,1,2,1,25,No
32,81590,3,5,1,2,2,7,16,No
33,80321,29,2,3,1,2,1,13,No
56,97453,20,5,4,3,2,0,13,No
29,78427,22,0,3,1,2,1,12,No
58,120746,16,7,3,3,4,3,21,No
21,35780,2,0,1,2,3,2,10,No
36,85778,19,5,4,3,3,2,14,No
53,123011,25,9,3,1,3,1,14,Yes
25,87499,8,3,1,1,4,2,21,Yes
24,63677,23,2,2,1,2,6,19,Yes
58,108982,22,5,2,1,3,1,19,Yes
52,89507,26,12,4,4,1,2,11,No
34,74539,17,0,3,4,4,1,13,No
33,82209,27,5,4,4,2,0,10,No
49,95150,9,4,3,1,4,2,13,No
22,66646,26,1,1,4,4,1,15,No
53,91005,19,9,1,1,4,2,15,No
28,75313,3,0,3,3,3,3,10,No
44,83953,30,2,4,1,1,4,20,Yes
26,54314,16,4,4,3,4,1,13,No
28,69694,6,1,2,1,1,4,14,Yes
23,65766,2,0,3,3,4,1,24,Yes
36,70636,7,4,1,2,2,0,17,No
55,87761,16,10,4,1,2,0,24,No
52,106149,9,9,2,4,3,4,24,No
43,76750,2,6,3,4,1,1,23,No
44,100470,8,6,1,4,4,3,10,No
40,111394,5,7,2,3,3,2,14,No
33,77019,17,0,1,4,2,2,22,Yes
26,64040,11,0,3,1,3,6,12,No
32,62675,23,0,4,2,2,3,10,No
31,42396,20,0,1,3,4,3,13,No
33,78832,17,6,4,1,2,3,19,No
47,103838,27,4,3,1,4,2,24,No
21,57879,19,1,4,4,2,0,22,Yes
36,87642,27,3,3,1,3,0,14,No
52,106368,4,10,3,2,2,3,16,No
36,81047,22,5,2,3,3,1,18,No
56,95384,23,8,3,1,4,3,17,No
33,81337,11,5,2,4,3,6,21,No
59,101554,18,9,4,4,4,1,24,No
29,62912,8,3,3,4,4,1,17,No
59,124874,13,11,4,4,1,3,10,No
42,65887,21,8,3,3,3,3,15,No
40,89557,13,3,1,4,1,2,24,Yes
26,78565,23,4,2,2,4,1,14,Yes
46,117764,11,6,2,4,2,4,11,No
59,136620,22,4,1,2,2,3,20,No
58,118684,4,6,2,4,4,2,14,Yes
45,89453,24,6,4,1,4,3,17,No
37,109421,8,2,2,3,3,1,23,No
22,60090,30,0,2,4,2,3,20,No
23,75895,14,3,3,2,1,1,15,No
44,72561,6,8,4,2,4,1,15,No
56,114382,10,13,4,3,1,3,11,Yes
36,85985,25,9,3,1,1,0,21,Yes
54,131499,28,4,2,2,3,0,13,No
23,61213,13,3,3,3,1,0,10,No
51,104931,16,2,1,2,3,1,18,No
35,111657,17,2,4,2,4,2,16,No
58,108861,22,7,3,2,1,3,25,No
50,95705,9,4,1,4,2,2,10,No
26,77594,19,0,1,4,3,2,12,No
22,89960,17,2,4,3,3,4,11,No
53,127851,11,11,1,2,3,2,19,Yes
57,114257,8,15,2,1,2,3,21,Yes
58,135155,15,12,3,3,2,3,17,No
38,86839,29,2,4,3,2,2,15,No
41,123995,4,5,3,4,1,3,25,No
39,93437,2,4,1,3,4,0,21,No
42,98748,12,0,2,4,3,2,23,Yes
45,100939,23,3,3,2,3,1,15,No
44,108208,8,7,4,2,1,0,21,No
28,62066,11,0,2,1,4,2,14,No
53,108920,19,11,2,3,1,3,15,No
31,65034,26,4,1,3,1,3,19,No
40,86946,8,0,1,2,1,2,25,Yes
32,58898,11,0,1,3,2,3,17,No
59,129200,8,9,4,2,3,2,25,No
40,89922,20,1,1,3,2,3,21,No
39,89559,19,5,2,3,3,1,15,No
34,70987,21,3,4,1,4,1,20,Yes
47,98150,23,7,2,3,1,0,13,No
42,91290,12,6,2,3,1,1,17,Yes
31,88699,3,1,2,1,4,1,20,Yes
50,104135,21,7,2,2,3,1,10,No
58,113900,21,7,1,4,3,2,23,Yes
53,99069,18,10,3,4,1,0,25,No
45,104966,14,4,2,2,4,0,21,No
44,75831,24,3,4,3,3,2,13,No
41,108768,17,8,3,1,1,0,20,No
38,94761,11,7,2,4,3,2,16,No
36,80460,15,4,1,2,1,1,11,No
47,120549,1,9,4,3,2,2,24,No
25,44862,11,0,1,2,3,2,13,Yes
35,81371,27,1,2,3,2,5,19,No
44,84782,21,5,3,4,4,3,15,No
34,76553,13,4,1,2,3,2,21,Yes
22,55637,24,0,3,3,2,2,20,No
48,93196,22,4,1,3,2,0,10,No
23,54653,10,0,1,3,3,0,12,No
23,72456,15,0,3,4,1,0,17,No
44,89351,7,2,2,4,3,4,21,No
34,66162,27,2,2,1,3,4,15,No
37,73215,2,7,4,4,3,4,20,No
30,61600,25,3,2,1,4,4,12,No
24,89572,14,0,2,4,1,1,20,No
23,69115,26,1,3,3,2,1,17,No
34,59979,4,7,4,1,3,3,19,No
25,54754,13,0,2,3,4,1,21,No
35,89839,24,4,4,4,1,1,14,No
34,66833,9,3,3,3,1,3,16,No
37,104444,19,2,4,4,4,1,25,No
26,85382,12,0,3,1,3,1,24,No
45,76082,3,4,2,1,1,1,18,No
33,80017,11,3,4,2,2,1,14,Yes
45,95098,12,1,4,1,4,1,17,No
58,115387,7,13,2,1,3,6,21,No
24,65852,17,0,3,2,4,2,25,No
31,76646,20,0,3,2,2,0,24,Yes
41,103329,4,0,3,2,1,1,13,Yes
31,67390,20,9,2,4,3,2,15,No
44,121651,4,7,3,2,1,2,25,Yes
27,79568,28,6,2,3,3,2,22,Yes
26,73134,20,4,1,3,2,2,14,Yes
41,102267,14,2,2,2,3,2,14,No
46,109718,29,2,3,3,3,2,24,No
43,84446,27,1,2,2,4,2,22,No
59,126938,27,4,3,4,3,0,20,No
29,97860,23,0,1,2,1,5,12,No
38,96989,4,0,4,2,4,2,21,No
35,82674,13,5,2,1,4,0,24,Yes
29,67923,1,5,2,1,3,2,24,No
35,83927,19,0,3,4,2,3,24,No
33,95946,7,4,1,4,1,1,10,Yes
54,107994,30,10,2,4,2,4,10,No
33,91214,27,1,1,2,4,2,15,Yes
49,101981,1,2,4,4,4,1,16,No
41,103742,26,5,1,3,1,2,17,No
55,128189,4,9,2,3,4,1,19,No
27,58056,12,3,4,4,1,2,24,Yes
25,59128,20,0,4,1,3,6,14,No
32,72035,5,3,3,4,4,3,15,No
31,77504,9,0,4,1,2,4,25,Yes
56,119112,24,9,2,2,1,1,24,Yes
21,61562,20,1,1,3,1,3,21,Yes
37,88395,17,6,1,2,1,4,18,No
21,50221,17,1,1,4,2,3,10,Yes
45,93901,23,5,4,3,3,4,19,No
23,46560,27,3,1,1,4,2,11,No
38,81720,14,3,2,1,1,1,19,Yes
39,76687,14,3,3,4,2,1,24,No
23,60389,4,0,1,2,4,2,15,No
44,94037,5,5,3,2,4,3,12,No
42,105711,29,5,3,3,1,1,22,Yes
53,106851,26,10,1,2,4,5,19,No
39,117225,21,10,2,1,4,2,23,No
31,69165,7,0,3,4,4,1,13,No
43,97515,30,7,3,4,1,5,17,Yes
34,79824,7,5,1,4,3,3,22,No
41,118201,24,0,2,3,3,4,24,Yes
41,105978,10,0,1,3,4,1,14,No
46,105799,30,0,4,3,2,1,13,Yes
25,42416,26,5,2,3,2,3,21,Yes
30,76688,4,1,3,4,2,2,11,No
50,121629,13,7,2,2,1,1,18,No
43,78229,13,4,4,1,1,5,18,No
29,74953,6,0,4,3,3,0,24,No
31,58634,23,5,1,1,3,3,11,Yes
42,84365,2,0,2,4,4,1,16,No
43,93066,5,6,1,4,2,1,18,No
56,105483,9,7,1,1,1,2,17,No
36,84282,20,0,1,4,1,3,23,Yes
52,122797,16,10,4,1,4,4,13,Yes
42,95611,15,6,2,4,1,1,17,No
38,91289,22,4,4,2,4,4,23,No
38,89239,29,4,1,1,1,5,24,Yes
45,80894,6,3,4,3,4,2,17,No
33,81519,14,1,2,3,2,1,23,No
42,96251,1,2,3,1,1,1,17,No
27,63598,23,0,4,4,1,4,21,Yes
55,117999,14,8,1,1,1,1,17,No
43,94987,16,1,4,2,3,0,16,Yes
26,57849,5,4,4,3,2,3,21,No
50,125288,19,8,4,4,4,3,17,No
37,70790,15,0,4,4,2,2,12,No
37,88788,4,5,1,2,2,3,20,No
36,82039,2,7,4,2,4,5,15,No
29,84395,2,5,2,3,3,0,23,No
53,126611,1,10,3,4,2,4,19,Yes
58,127016,5,12,3,1,3,1,21,No
29,71944,23,2,2,1,2,0,23,Yes
27,60475,14,4,1,2,2,3,21,Yes
33,82474,12,5,4,2,3,3,23,No
28,78014,22,1,3,4,2,1,18,Yes
52,121902,17,9,4,2,2,2,18,Yes
45,69338,7,11,3,3,1,0,10,No
35,77106,29,2,4,3,3,2,11,No
59,123152,4,11,4,3,4,2,15,No
50,118813,27,3,4,2,4,1,11,No
50,119427,15,5,2,3,1,3,25,No
33,67746,4,8,1,2,1,3,17,Yes
29,86149,15,0,3,4,4,2,25,No
32,67468,10,1,3,4,1,4,21,Yes
39,88298,14,2,2,1,3,0,10,Yes
25,59502,6,1,3,4,2,0,22,Yes
41,99876,1,4,2,1,4,1,22,No
54,87460,22,11,2,4,1,1,20,No
24,80023,29,0,1,4,2,1,16,Yes
43,65270,24,13,3,3,2,1,25,No
48,93069,17,8,3,3,3,3,12,No
49,99001,8,10,3,1,4,1,10,Yes
45,97941,25,7,1,4,1,2,18,No
23,44164,27,1,4,4,3,2,21,No
56,111604,23,9,3,4,2,4,15,No
37,77988,23,8,4,3,2,2,10,No
26,68551,11,5,1,4,1,0,12,Yes
29,101770,23,2,3,4,3,0,16,No
37,81157,2,0,2,3,4,1,19,No
32,90254,29,3,3,4,1,2,12,No
31,66920,28,1,1,3,3,2,25,No
43,98662,14,2,1,3,4,3,24,No
38,85433,15,6,1,4,2,1,12,No
21,55010,21,0,2,2,3,5,14,No
59,103798,5,9,1,1,3,2,23,No
50,95849,13,9,3,4,2,1,25,No
59,121368,22,12,3,3,4,1,19,Yes
45,108965,18,7,3,3,1,2,23,Yes
52,113603,7,7,3,3,1,1,24,Yes
49,93097,22,5,2,2,2,2,15,No
25,72531,10,5,4,3,1,1,12,Yes
38,84190,20,5,3,4,4,2,10,No
32,76488,28,0,1,3,4,4,25,Yes
21,56793,25,0,4,3,4,1,10,No
24,51994,1,3,3,4,1,1,21,No
34,79372,1,4,2,1,2,1,10,No
55,138550,29,10,4,3,4,1,24,No
26,66110,17,4,4,2,1,1,17,Yes
37,93199,2,4,3,4,2,3,15,No
50,82646,4,12,1,1,4,0,25,No
38,88664,7,3,2,1,3,1,19,Yes
48,112405,13,6,4,4,3,2,22,No
37,80752,30,2,1,1,3,2,13,Yes
43,85536,2,6,3,3,3,1,24,No
32,96835,4,6,2,4,3,0,24,No
21,65859,3,0,2,3,2,4,16,No
22,52403,1,2,3,3,1,1,18,Yes
32,77707,27,0,2,2,4,0,22,No
35,87907,4,8,4,4,4,1,25,No
22,52422,6,0,2,2,2,1,25,Yes
32,76750,6,8,2,4,3,1,16,Yes
50,101634,1,5,2,4,2,1,23,No
52,119966,15,5,3,1,3,2,21,No
24,63938,22,0,1,3,3,4,20,No
22,65486,8,0,3,3,3,2,14,Yes
36,90068,20,0,1,3,1,3,23,No
52,109143,29,2,4,1,3,2,20,Yes
59,118458,29,7,1,3,3,6,24,Yes
55,120141,13,11,1,3,1,2,10,Yes
56,106762,19,11,4,4,4,1,19,No
50,114265,21,6,2,4,3,1,10,Yes
48,91828,4,9,4,2,4,0,11,Yes
58,126119,6,11,3,3,1,0,19,No
41,86478,28,0,3,1,3,2,24,Yes
30,47618,11,1,2,3,1,3,10,No
42,90374,24,6,1,1,4,8,19,No
47,99700,2,9,4,4,2,3,22,No
27,94190,17,0,3,1,3,1,19,No
46,99333,16,6,3,4,2,0,22,No
45,97439,18,4,4,1,4,2,12,No
42,98951,2,0,4,4,4,5,12,No
36,86767,4,1,4,4,3,1,14,No
53,109993,7,11,3,1,2,1,23,No
26,79719,16,0,1,4,3,3,20,Yes
49,101315,10,4,2,3,1,1,22,No
41,91674,30,0,4,3,2,0,19,No
33,93658,14,3,3,1,2,0,18,Yes
34,91695,29,6,2,3,1,3,22,No
33,61487,23,3,3,2,4,2,12,No
27,46741,24,0,3,2,1,3,18,No
29,72036,25,0,4,1,1,1,14,No
43,92939,26,3,2,2,4,1,18,No
35,71484,10,9,1,1,4,2,11,Yes
40,84324,4,8,1,1,2,1,23,No
26,78129,10,2,4,3,2,2,10,No
36,92986,15,2,2,1,1,1,20,No
30,89321,10,1,4,1,1,2,20,No
38,70262,11,3,4,2,2,2,16,No
22,66295,9,1,3,3,2,2,11,No
50,102152,18,3,4,2,1,1,11,No
30,62493,5,0,2,2,2,2,17,No
30,52704,24,2,3,4,3,1,17,No
24,61948,29,4,1,3,2,2,25,Yes
33,71747,5,2,3,1,4,1,17,Yes
55,99233,20,6,2,1,1,3,15,Yes
33,92107,27,5,2,1,1,1,10,Yes
51,93642,14,6,1,4,2,0,12,Yes
41,94498,8,5,1,1,1,1,18,No
23,71997,25,0,3,2,4,0,19,No
38,67391,8,1,1,4,2,3,21,No
37,78558,1,6,3,3,1,0,18,No
29,79818,12,1,1,3,2,2,25,No
36,98945,14,3,1,4,1,3,15,No
53,104341,21,12,3,2,3,2,16,Yes
32,65905,15,4,2,1,2,3,13,No
44,94457,29,6,3,2,4,1,12,No
29,68879,24,2,2,1,1,4,25,Yes
45,96757,21,10,4,2,1,3,11,No
27,29077,2,0,2,4,3,1,21,No
41,93093,28,4,3,1,3,2,21,Yes
45,101863,3,7,4,2,4,2,20,No
56,92172,19,7,3,4,2,2,19,No
55,131899,9,11,3,1,1,3,18,Yes
25,76477,5,3,1,3,1,1,19,Yes
28,67298,21,1,2,4,1,4,14,No
51,99372,24,4,1,3,4,4,13,Yes
40,96855,19,5,3,3,3,1,16,No
40,77955,17,5,2,2,3,2,25,No
50,105382,21,12,3,3,3,0,15,No
32,59369,22,0,2,1,4,1,16,Yes
59,128643,6,12,4,2,3,1,13,No
50,95846,26,12,3,3,3,0,13,No
39,93665,10,2,2,1,2,0,12,No
22,63968,15,1,3,2,2,1,21,No
37,74884,8,4,3,2,1,1,10,No
44,91468,1,7,4,4,1,4,15,Yes
26,65866,8,1,4,4,2,4,18,Yes
49,106907,20,5,2,4,2,1,20,Yes
50,102038,5,8,3,2,4,3,17,No
35,64116,30,4,4,3,4,0,11,No
53,103388,6,9,3,2,3,3,19,No
34,89645,22,3,3,1,1,1,22,Yes
30,84641,12,2,3,2,2,2,21,Yes
43,104505,26,4,2,2,1,2,13,Yes
30,86741,9,0,2,3,3,2,22,No
53,114237,2,5,2,2,1,2,14,No
30,61690,30,1,1,1,3,3,21,No
31,79137,12,0,1,4,2,1,14,Yes
28,77119,26,1,2,2,3,3,17,No
42,92598,14,6,1,4,2,3,20,No
25,56887,16,0,3,3,4,1,20,No
35,65257,1,5,3,2,3,3,21,Yes
47,93527,6,10,2,3,2,3,13,No
42,90574,18,2,2,1,1,3,17,Yes
58,122721,16,7,1,4,2,1,10,No
50,133274,21,7,4,1,4,3,15,No
36,77886,30,4,3,4,4,2,11,Yes
49,120900,11,11,4,1,1,1,21,No
35,93171,19,7,1,1,3,2,16,No
38,82688,25,7,4,4,3,1,24,No
48,124732,21,6,4,3,4,1,20,No
38,68678,2,7,1,3,2,0,25,Yes
21,45068,17,0,3,4,2,2,21,Yes
42,89410,6,11,3,1,4,4,23,No
54,113511,4,9,3,4,2,2,18,No
58,140144,14,5,4,1,1,1,25,No
51,96591,6,4,1,2,3,1,25,Yes
46,103121,16,9,1,3,1,1,12,No
37,99404,28,4,4,1,1,0,12,No
42,99408,2,8,3,1,1,3,10,Yes
23,32999,24,1,1,3,2,2,21,No
45,84960,23,5,1,3,2,2,17,No
44,90861,1,5,2,4,2,3,25,No
48,109817,20,5,2,2,4,4,22,No
33,86783,6,6,2,3,1,2,14,Yes
54,109690,14,7,2,3,2,1,20,No
40,78516,22,0,4,1,4,4,23,No
53,118040,9,9,4,1,4,0,23,Yes
53,92347,19,11,4,2,2,1,19,Yes
47,87255,1,7,1,1,1,1,11,No
58,124217,21,8,1,1,2,6,24,Yes
34,91145,20,0,1,4,2,2,14,Yes
27,71036,14,0,1,2,4,7,25,Yes
52,115313,8,11,1,4,3,3,17,No
39,75623,9,0,2,3,4,0,23,No
41,84635,20,5,3,3,4,3,18,No
53,115999,20,1,1,3,3,0,12,Yes
58,128927,3,15,2,1,4,0,10,No
45,102270,19,3,1,2,2,2,17,No
56,124160,4,11,1,3,4,2,25,Yes
21,58917,25,1,3,4,1,3,25,No
58,125718,25,10,1,3,2,2,17,No
39,84053,25,1,3,4,4,4,19,No
48,107844,27,4,1,3,1,1,23,Yes
33,91761,12,4,2,4,4,5,19,No
50,90373,8,3,2,3,4,2,12,No
22,74208,10,0,1,2,4,2,19,No
31,64781,22,2,2,3,4,1,21,No
41,75748,13,4,4,1,3,4,14,No
44,127275,25,4,2,3,3,1,19,No
36,71988,24,2,2,2,2,5,12,Yes
48,101194,15,5,3,4,3,4,16,Yes
57,112429,26,9,4,4,3,3,20,Yes
42,93442,9,5,3,4,4,1,25,No
39,101617,30,3,1,4,2,3,12,Yes
48,99962,8,11,2,1,4,2,13,No
36,92243,18,6,2,3,2,1,13,Yes
29,59304,27,2,4,1,1,3,17,Yes
40,83856,1,9,1,3,1,3,14,No
35,93801,26,5,4,4,3,2,10,No
55,121569,6,11,2,2,3,3,25,No
24,43199,2,1,4,2,3,2,23,No
38,74455,3,6,4,1,2,0,12,No
22,55458,4,2,1,3,2,2,18,No
25,59829,13,0,1,2,1,3,23,No
36,73542,25,3,2,3,1,3,24,No
47,113911,17,2,3,4,2,4,18,No
47,108158,1,11,2,3,2,1,20,No
45,116621,12,6,1,3,2,0,11,No
22,59813,11,0,1,1,3,5,11,Yes
55,92744,26,6,4,4,2,1,24,No
44,88559,29,7,3,2,1,2,18,No
50,123222,2,8,1,3,1,2,14,No
25,31046,17,0,2,4,1,2,18,No
25,67595,16,0,3,4,2,1,20,Yes
26,69415,2,0,3,3,4,6,13,Yes
25,90233,7,0,1,3,2,2,11,No
29,77410,26,4,2,1,2,2,20,Yes
28,73518,4,3,1,4,1,1,11,No
48,126771,20,12,4,3,3,3,12,No
35,87514,10,0,3,1,4,1,23,No
27,64160,25,7,2,3,3,2,20,No
22,65398,10,1,1,4,3,4,12,No
45,102866,19,4,4,1,1,0,13,Yes
25,69308,9,0,1,4,2,4,18,No
21,70839,9,0,1,1,1,2,10,Yes
49,109680,28,4,4,3,3,3,15,No
46,88186,7,8,3,2,4,1,12,No
28,69731,12,0,4,1,4,3,25,Yes
49,103694,8,8,1,1,4,3,24,Yes
52,124170,17,3,4,1,4,2,23,No
53,107472,11,7,2,4,2,1,19,No
41,121772,13,3,3,2,3,3,13,No
40,88515,14,6,2,4,4,2,16,No
35,73937,25,0,1,1,1,2,23,No
52,101931,14,10,2,2,2,0,18,No
45,80061,3,5,2,1,1,0,10,No
51,113844,11,9,4,3,2,1,18,Yes
56,97754,5,10,2,2,2,2,22,Yes
46,99059,9,7,4,4,4,2,15,No
50,93319,15,6,3,2,2,0,16,No
34,81582,16,9,3,2,2,2,19,Yes
58,108404,24,4,1,4,2,3,14,Yes
43,85164,11,6,1,3,4,0,12,No
24,67524,5,0,3,4,4,1,14,No
41,101209,6,1,1,2,3,1,10,No
25,62964,13,0,4,1,2,2,25,No
22,59376,3,2,1,3,2,1,16,No
32,86472,21,4,1,2,1,0,19,Yes
24,53602,18,0,2,4,2,1,13,No
29,81124,7,7,1,1,2,1,22,Yes
51,98554,23,6,1,1,1,4,19,Yes
29,73246,18,7,2,3,1,1,14,Yes
56,120224,28,11,3,1,3,2,14,No
41,82432,4,8,4,3,1,0,24,No
55,109417,9,10,1,1,2,4,19,Yes
28,88767,6,0,4,4,4,1,17,No
56,110784,2,6,4,4,2,3,14,No
49,114890,24,7,4,4,3,0,11,No
59,126166,5,7,1,2,1,1,17,Yes
59,112491,11,5,4,2,3,1,17,No
23,67766,16,0,3,4,3,3,17,No
22,48688,15,2,4,1,1,0,19,No
59,115422,25,18,3,3,2,2,12,No
59,114841,25,11,3,1,3,1,13,No
23,57131,14,1,1,3,3,1,15,No
33,63603,26,4,1,1,4,0,23,No
